 6, 43, 37,      Hyrean,                  ,                  ,
27, 12, 35,    Claymore,  0.85296865578697,  -0.3373248250886, -0.39831700267933
58,  8,  4,   Rokenharr,                  ,                  ,
44, 35,  3,    Nookryme,                  ,                  ,
57, 21, 52,    Neuranto,  0.39831700267993,  0.85296865578697,   0.3373248250886
53,  1, 50,     Mavarix,                 0, -0.18983879552606,  -0.9818152737217
37, 32, 30,      Traxex,                  ,                  ,
 3, 54, 29,            ,                  ,                  ,
21, 13, 25,       Xiada,                  ,                  ,
43, 53, 47,      Athina,  0.20847820715387, -0.73564182776852,  -0.6444904486331
42, 60, 56,            ,                  ,                  ,
 2, 22, 58,     Arislan,   0.9818152737217,                 0, -0.18983879552606
 9, 57, 22,   Constance,  0.73564182776852,    0.644904486331, -0.20847820715387
60, 34, 32, Falconsabre, -0.73564182776852,   0.6444904486331, -0.20847820715387
40, 19, 31,     Erinyes, -0.73564182776852,  -0.6444904486331, -0.20847820715387
59, 39, 18,     Alfonso,                  ,                  ,
52, 51, 54,  Cootiepuss,                  ,                  ,
48, 38, 16,        Alaz,
15, 26, 39,      Hermes, -0.73564182776852,  -0.6444904486331,  0.20847820715387
22, 27, 49,   Krubidium,   0.6444904486331,  0.20847820715387, -0.73564182776852
 5,  9, 42,        Koma,                  ,                  ,
12, 20, 13,       Horae,                  ,                  ,
55, 59, 60,        Styx, -0.85296865578697,   0.3373248250886,  0.39831700267993
54, 58, 57,            ,                  ,                  ,
49, 36,  9,      Aeolus,                  ,                  ,
19, 46, 48,      Stijio,                  ,                  ,
20,  2, 53,        Agon,                  ,                  ,
32, 31, 55,       Anson,   -0.981852737217,                 0, -0.18983879552606
38, 41,  8,      Weylop,                  ,                  ,
36, 50,  7,     Amebris,                  ,                  ,
28, 37, 15,     Acheron,                  ,                  ,
 7, 28, 14,    Witfalla, -0.85296865578697,   0.3373248250886, -0.39831700267993
51, 56, 59,      Enigma, -0.33743248250886,  0.39831700267933,  0.85296865578697
14, 42, 36,     Hadrian,                  ,                  ,
 4, 47,  2,     Verbena,                  ,                  ,
25, 30, 34,        Rouk,                  ,                  ,
31,  7,  1,       Corus,  -0.6444904486331, -0.20847820715387, -0.73564182776852
18, 29, 51,        Gegi,                  ,                  ,
16, 55, 19,       Taras,                  ,                  ,
46, 15, 43,        Ezra,                  ,                  ,
29, 48, 44,    Octarine,                  ,                  ,
34, 11, 21,       Lyssa,                  ,                  ,
 1, 10, 40,     Atengam,                  ,                  ,
45,  4, 41,        Snek,                  ,                  ,
47, 44, 46,    meleagar,                  ,                  ,
26, 40, 45,       Tyche,                  ,                  ,
35, 45, 10,      Indigo,                  ,                  ,
41, 18, 26,      Wyvern,                  ,                  ,
50, 25, 20,     Ishmere,                  ,                  ,
30, 49,  6, Bellerophon,                  ,                  ,
17, 33, 38,      Raegis,                  ,                  ,
56, 17,  5,       Wilde,                  ,                  ,
10,  6, 27,     Xynariz,   0.3373248250886, -0.39831700267993, -0.85296865578697
 8, 24, 17,     Noveria,                  ,                  ,
39, 23, 28,      Typhon,                  ,                  ,
33, 52, 11,      Ozwulf,                  ,                  ,
13,  5, 24,  Harmonette,                  ,                  ,
24,  3, 12,      Peitho,   0.9818152737217,                 0,  0.18983879552606
23, 16, 33,     Kokytos,  -0.6444904486331,  0.20847820715387,  0.73564182776852
11, 14, 23,    Whittier,                  ,                  ,
